FlorentineDrawings_Identifier,City,City_URI,Country,Country_URI,Collection_main,Collection_URI_main,Collection_sub,Collection_URI_sub,Inventory_number,Object_repository_URI_corrected,Former_collection,Former_collection_URI,Former_collection_city,Former_collection_city_URI,Former_collection_country,Former_collection_country_URI,Former_collection_Inventory_Number,BB_1961_number_letter,BB_1961_number_letter_NoSpace,BB_1961_figure number_recto,BB_1961_figure number_verso,BB_1961_plate number,BB_1961_Artist_NoQualifier,Artist_URI_1961,BB_1961_Qualifier,BB_1961_title_recto,BB_1961_title_verso,BB_1961_title_correction,BB_1961_technique_recto_1,BB_1961_technique_recto_1_URI,BB_1961_technique_recto_2,BB_1961_technique_recto_2_URI,BB_1961_technique_recto_3,BB_1961_technique_recto_3_URI,BB_1961_technique_recto_4,BB_1961_technique_recto_4_URI,BB_1961_technique_recto_5,BB_1961_technique_recto_5_URI,BB_1961_technique_verso_1,BB_1961_technique_verso_1_URI,BB_1961_technique_verso_2,BB_1961_technique_verso_2_URI,BB_1961_technique_verso_3,BB_1961_technique_verso_3_URI,BB_1961_technique_verso_4,BB_1961_technique_verso_4_URI,BB_1961_text_recto,BB_1961_text_verso,BB_1938_number_letter,BB_1938_number_letter_NoSpace,BB_1938_Artist_NoQualifier,Artist_URI_1938,BB_1938_Qualifier,BB_1938_title_recto,BB_1938_title_verso,BB_1938_text_recto,BB_1938_text_verso,BB_1903_number_letter,BB_1903_number_letter_NoSpace,BB_1903_Artist_NoQualifier,Artist_URI_1903,BB_1903_Qualifier,BB_1903_title_recto,BB_1903_title_verso,BB_1903_text_recto,BB_1903_text_verso,Cataloguer's Comments,Cataloguer's Question
559G1Fol12-Berenson,Rotterdam,http://sws.geonames.org/2747891,Netherlands,http://sws.geonames.org/2750405,Museum Boymans-van Beuningen,http://viaf.org/viaf/169873003/,,,,,,,,,,,,559 G-1 (Fol. 12),559G-1Fol12,,,,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Taccuino contenente venti fogli con schizzi di figure intere, di teste, di braccia, di piedi e di particolari architettonici: Gruppo di disegni. Ornamenti floreali",,,metalpoint,http://vocab.getty.edu/aat/300404633,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,558 B (Fol. 12),558BFol12,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Sketch-book containing twenty leaves with various drawings of entire figures, heads, hands, feet, and details of architecture: A number of drawings. These and the elaborate floral scrolls",,"are done with the same technique, and share the same qualities. These and the elaborate floral scrolls may be by an Umbrian follower of Benozzo, say the youthful Antoniazzo as we know him at Rieti and Subiaco.",,,,,,,,,,,Inventory numbers missing in BB 1961. Drawings missing in BB 1903.,
559G1Fol1B-Berenson,Rotterdam,http://sws.geonames.org/2747891,Netherlands,http://sws.geonames.org/2750405,Museum Boymans-van Beuningen,http://viaf.org/viaf/169873003/,,,,,,,,,,,,559 G-1 (Fol. 1.B),559G-1Fol1B,,,,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Taccuino contenente venti fogli con schizzi di figure intere, di teste, di braccia, di piedi e di particolari architettonici: Gruppo di disegni. Ornamenti floreali",,,metalpoint,http://vocab.getty.edu/aat/300404633,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,558 B (Fol. 1.B),558BFol1B,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Sketch-book containing twenty leaves with various drawings of entire figures, heads, hands, feet, and details of architecture: A number of drawings. These and the elaborate floral scrolls",,"are done with the same technique, and share the same qualities. These and the elaborate floral scrolls may be by an Umbrian follower of Benozzo, say the youthful Antoniazzo as we know him at Rieti and Subiaco.",,,,,,,,,,,Inventory numbers missing in BB 1961. Drawings missing in BB 1903.,
559G1Fol2-Berenson,Rotterdam,http://sws.geonames.org/2747891,Netherlands,http://sws.geonames.org/2750405,Museum Boymans-van Beuningen,http://viaf.org/viaf/169873003/,,,,,,,,,,,,559 G-1 (Fol. 2),559G-1Fol2,,,,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Taccuino contenente venti fogli con schizzi di figure intere, di teste, di braccia, di piedi e di particolari architettonici: Gruppo di disegni. Ornamenti floreali",,,metalpoint,http://vocab.getty.edu/aat/300404633,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,558 B (Fol. 2),558BFol2,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Sketch-book containing twenty leaves with various drawings of entire figures, heads, hands, feet, and details of architecture: A number of drawings. These and the elaborate floral scrolls",,"are done with the same technique, and share the same qualities. These and the elaborate floral scrolls may be by an Umbrian follower of Benozzo, say the youthful Antoniazzo as we know him at Rieti and Subiaco.",,,,,,,,,,,Inventory numbers missing in BB 1961. Drawings missing in BB 1903.,
559G1Fol18B-Berenson,Rotterdam,http://sws.geonames.org/2747891,Netherlands,http://sws.geonames.org/2750405,Museum Boymans-van Beuningen,http://viaf.org/viaf/169873003/,,,,,,,,,,,,559 G-1 (Fol. 18.B),559G-1Fol18B,,,,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Taccuino contenente venti fogli con schizzi di figure intere, di teste, di braccia, di piedi e di particolari architettonici: Gruppo di disegni. Ornamenti floreali",,,metalpoint,http://vocab.getty.edu/aat/300404633,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,558 B (Fol. 18.B),558BFol18B,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Sketch-book containing twenty leaves with various drawings of entire figures, heads, hands, feet, and details of architecture: A number of drawings. These and the elaborate floral scrolls",,"are done with the same technique, and share the same qualities. These and the elaborate floral scrolls may be by an Umbrian follower of Benozzo, say the youthful Antoniazzo as we know him at Rieti and Subiaco.",,,,,,,,,,,Inventory numbers missing in BB 1961. Drawings missing in BB 1903.,
559G1Fol10-Berenson,Rotterdam,http://sws.geonames.org/2747891,Netherlands,http://sws.geonames.org/2750405,Museum Boymans-van Beuningen,http://viaf.org/viaf/169873003/,,,,,,,,,,,,559 G-1 (Fol. 10),559G-1Fol10,46,,,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Taccuino contenente venti fogli con schizzi di figure intere, di teste, di braccia, di piedi e di particolari architettonici: Nudo seduto, con la mano destra sul ginocchio accavallato e la sinistra che tocca la pianta del piede destro nudo disteso per terra",,,,,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,558 B (Fol. 10),558BFol10,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Sketch-book containing twenty leaves with various drawings of entire figures, heads, hands, feet, and details of architecture: A nude seated with his right hand on his knee and his left caressing the sole of his right foot",,"This is copied either from my 176 or from the original Fra Angelico of which the last itself was the copy. It is interesting to compare the two copies. The one in our sketch-book is hard and yet flickering, while the other is suave and plastic. Folio 10 has beside the seated nude, one sprawling on the ground which Mr. Popham describes as a copy ""from a figure in the fresco of the ""Destruction of Sodom"" in the Camposanto at Pisa completed by Benozzo Gozzoli in 1474 (sic) or perhaps from a study for the fresco"", and argues that the sketch book must have been completed about that time. There is no reason for accepting either suggestion. The fact is that Benozzo and his pupils, like all other artists of that time, laid in while young a stock of sketches which served them for a lifetime, and this would have been especially the case with the nude in difficult postures. Even for such stock subjects, and so easy to dash off as an Evangelist in a ceiling fresco, we find that Benozzo used the same sketch (my 531 verso) for Montefalco in 1432 and, more than thirty years later, in the Madonna della Tosse at Castelfiorentino. There is no valid reason for dating any leaf of this sketch-book later than 1460.",,,,,,,,,,,Inventory numbers missing in BB 1961. Drawings missing in BB 1903.,
559G1Fol11-Berenson,Rotterdam,http://sws.geonames.org/2747891,Netherlands,http://sws.geonames.org/2750405,Museum Boymans-van Beuningen,http://viaf.org/viaf/169873003/,,,,,,,,,,,,559 G-1 (Fol. 11),559G-1Fol11,45,,,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Taccuino contenente venti fogli con schizzi di figure intere, di teste, di braccia, di piedi e di particolari architettonici: Madonna",,,,,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,558 B (Fol. 11),558BFol11,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Sketch-book containing twenty leaves with various drawings of entire figures, heads, hands, feet, and details of architecture: Madonna",,"copied from my 534.B, in all likelihood by Benozzo. A comparison is instructive.",,,,,,,,,,,Inventory numbers missing in BB 1961. Drawings missing in BB 1903.,
559G1Fol16B-Berenson,Rotterdam,http://sws.geonames.org/2747891,Netherlands,http://sws.geonames.org/2750405,Museum Boymans-van Beuningen,http://viaf.org/viaf/169873003/,,,,,,,,,,,,559 G-1 (Fol. 16.B),559G-1Fol16B,,,,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Taccuino contenente venti fogli con schizzi di figure intere, di teste, di braccia, di piedi e di particolari architettonici: Testa di giovinetto in profilo a sinistra in senso inverso e su scala minore, busto di uomo con berretto",,,,,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,558 B (Fol. 16.B),558BFol16B,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Sketch-book containing twenty leaves with various drawings of entire figures, heads, hands, feet, and details of architecture: Youth in profile",,is closer to Fra Angelico and to a head probably by the Carrand Master among the recently recovered fragments of fresco ascribed to Uccello than to Benozzo in the Riccardi Chapel.,,,,,,,,,,,Inventory numbers missing in BB 1961. Drawings missing in BB 1903.,
559G1Fol19-Berenson,Rotterdam,http://sws.geonames.org/2747891,Netherlands,http://sws.geonames.org/2750405,Museum Boymans-van Beuningen,http://viaf.org/viaf/169873003/,,,,,,,,,,,,559 G-1 (Fol. 19),559G-1Fol19,,,,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Taccuino contenente venti fogli con schizzi di figure intere, di teste, di braccia, di piedi e di particolari architettonici: Incantevole Madonna dell'Umiltà ed altri due schizzi",,,,,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,558 B (Fol. 19),558BFol19,Benozzo Gozzoli,http://vocab.getty.edu/ulan/500000246,School of,"Sketch-book containing twenty leaves with various drawings of entire figures, heads, hands, feet, and details of architecture: Study for a Madonna of Humilty",,"has two other sketches, one copied from my 530 and the other from my 532. I venture to believe that this coincidence confirms the attribution of these two to Benozzo. A number of other drawings here catalogued as by apprentices of the young Benozzo may have formed part of the same sketch-book, e.g. my 559.I and most of those at Stockholm.",,,,,,,,,,,Inventory numbers missing in BB 1961. Drawings missing in BB 1903.,
001702a-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,299,,,,,,,,,1702 a,1702a,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Cinque piccoli schizzi di nudi seduti (quello all'estrema sinistra simile ad Abia dormiente nella lunetta di ""Roboam e Abia"") iscritto ""di quindici di sectebre"" nell'angolo superiore sinistro dalla mano di Michelangelo ","Otto piccoli nudi, tre dei quali sono varianti di un uomo seduto frontalmente che legge un libro",,ink,http://vocab.getty.edu/aat/300015012,bister,http://vocab.getty.edu/aat/300013351,,,,,,,ink,http://vocab.getty.edu/aat/300015012,black chalk,http://vocab.getty.edu/aat/300080058,,,,,"Same as 1938, in Italian",,1702,1702,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Four leaves from a small sketch-book now joined together as a single sheet, containing on front and back sketches for the Ceiling of the Sixtine Chapel. For a complete description of these leaflets I refer the reader to Robinson's catalogue",,,,1702,1702,,,,,,Same as 1938,,"In BB_1961 we find an introduction for the others 1702-1703 drawings: Otto pagine di un taccuino quadrato, riunite nel 1836 in due pagine di cm 27.5 x 27 (onde i due numeri di Robinson e di Berenson), ma ridivise e montate separatamente nel 1953, contenenti schizzi di figure simili a quelle sulla volta della Cappella Sistina.",
001702b-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,300,,,,,,,,,1702 b,1702b,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Piccola figura corrispondente a Obed nella lunetta di ""Salmon-Boaz-Obed"", altra piccola figura corrispondente alla figura a sinistra nella lunetta di Aminabad su scala maggiore, mano destra e braccio sinistro ","Nell'angolo superiore destro figura simile alla Sibilla Persica; due studi su scala diversa simili alla figura a destra nella lunetta di ""Roboam e Abia""; altre tre figurette",,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1702,1702,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Four leaves from a small sketch-book now joined together as a single sheet, containing on front and back sketches for the Ceiling of the Sixtine Chapel. For a complete description of these leaflets I refer the reader to Robinson's catalogue",,,,1702,1702,,,,,,Same as 1938,,"In BB_1961 we find an introduction for the others 1702-1703 drawings: Otto pagine di un taccuino quadrato, riunite nel 1836 in due pagine di cm 27.5 x 27 (onde i due numeri di Robinson e di Berenson), ma ridivis e montate separatamente nel 1953, contenenti schizzi di figure simili a quelle sulla volta della Cappella Sistina.",
001702c-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,301,,,,,,,,,1702 c,1702c,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Tre varianti dell'Eterno nella ""Separazione della luce dalle tenebre"" e cinque figurette di cui due corrispondenti alla donna a destra nella lunetta di ""Jesse-David-Salomone"" iscritto in alto ""M A roma Siluio in roma falconi damagliano / siluio di messere... Damagliano in roma."" ","Studio per l'uomo a sinistra nella lunetta distrutta di ""Phares-Esrom-Aram"" (a carboncino); quattro figurette forse per il Giona e tre deboli schizzi nell'angolo superiore sinistro forse per l'Eterno che separa la luce dalle tenebre (a penna).",,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,black chalk,http://vocab.getty.edu/aat/300080058,ink,http://vocab.getty.edu/aat/300015012,,,,,"Same as 1938, in Italian",,1702,1702,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Four leaves from a small sketch-book now joined together as a single sheet, containing on front and back sketches for the Ceiling of the Sixtine Chapel. For a complete description of these leaflets I refer the reader to Robinson's catalogue",,,,1702,1702,,,,,,Same as 1938,,"In BB_1961 we find an introduction for the others 1702-1703 drawings: Otto pagine di un taccuino quadrato, riunite nel 1836 in due pagine di cm 27.5 x 27 (onde i due numeri di Robinson e di Berenson), ma ridivis e montate separatamente nel 1953, contenenti schizzi di figure simili a quelle sulla volta della Cappella Sistina.",
001702d-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,302,,,,,,,,,1702 d,1702d,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Due studi su larga scala per l'uomo addormentato nella lunetta di ""Roboam-Abia"" e per le gambe dell'uomo a destra nella lunetta di ""Salmon-Boaz-Obed"" nell'angolo superiore destro in direzione capovolta figuretta nella posa dell'uomo a sinistra nella lunetta di ""Asa-Josaphat-Joram"" ",Quattro schizzi a semplice contorno di nudi virili seduti su gradini appoggiati a un arco di lunetta,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1702,1702,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Four leaves from a small sketch-book now joined together as a single sheet, containing on front and back sketches for the Ceiling of the Sixtine Chapel. For a complete description of these leaflets I refer the reader to Robinson's catalogue",,,,1702,1702,,,,,,Same as 1938,,"In BB_1961 we find an introduction for the others 1702-1703 drawings: Otto pagine di un taccuino quadrato, riunite nel 1836 in due pagine di cm 27.5 x 27 (onde i due numeri di Robinson e di Berenson), ma ridivis e montate separatamente nel 1953, contenenti schizzi di figure simili a quelle sulla volta della Cappella Sistina.",
001703a-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,303,,,,,,,,,1703 a,1703a,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Otto figurette sedute in vari atteggiamenti su gradini appoggiati ad archi di lunette iscritto al centro della pagina ""Dagli bere"" ","Uno scarabocchio e cinque figurette, fra cui il dormiente a sinistra nella lunetta di ""Phares-Esrom-Aram""",,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as BB 1702 1938, in Italian",,1703,1703,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,Four more leaves from same sketch-book containing studies after the Sixtine Ceiling. For a full description I again refer to Robinson,,,,1703,1703,,,,,,Same as 1938,,"In BB_1961 we find an introduction for the others 1702-1703 drawings: Otto pagine di un taccuino quadrato, riunite nel 1836 in due pagine di cm 27.5 x 27 (onde i due numeri di Robinson e di Berenson), ma ridivise e montate separatamente nel 1953, contenenti schizzi di figure simili a quelle sulla volta della Cappella Sistina. The BB_1961_Text is transcripted in BB 1703d.",
001703b-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,304,,,,,,,,,1703 b,1703b,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Vecchio mendicante seminudo con cane, ambedue in profilo a destra ","Cinque figurette, di cui una seduta a leggere un libro e un'altra simile alla donna col bambino in grembo nella lunetta di ""Ezechias-Manasse-Aman""",,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,"Same as BB 1702 and 1703 note 1938, in Italian",,1703,1703,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,Four more leaves from same sketch-book containing studies after the Sixtine Ceiling. For a full description I again refer to Robinson,,"Note: One of them calls for particular mention. I have hiterto failed to observe that the leaflet reproduced by Frey on the upper right of his pl. 153 representing an old pilgrim hobbling along bent double over his staff with his dog ambling just in front of him corresponds with the reverse of the portrait medal of Michelangelo made by Leone Leoni in 1561 not in detail but in design. It is not likely that Leoni was acquainted with this jotting. He probably followed a drawing from Michelangelo's own hand. Indeed Vasari says as much. The odd thing is that the pilgrim in our scrawl looks much  more like Michelangelo aged 85 than he does in the medal, where of course Leoni translated  him into his own forms. What are we to infer? That this sketch is the copy of a drawing from his earlier years that Michelangelo had kept for 40 years and then gave to Leoni?",,1703,1703,,,,,,Same as 1938,,"In BB_1961 we find an introduction for the others 1702-1703 drawings: Otto pagine di un taccuino quadrato, riunite nel 1836 in due pagine di cm 27.5 x 27 (onde i due numeri di Robinson e di Berenson), ma ridivise e montate separatamente nel 1953, contenenti schizzi di figure simili a quelle sulla volta della Cappella Sistina. The BB_1961_Text is transcripted in BB 1703d.",
001703c-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,305,,,,,,,,,1703 c,1703c,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Grande nudo virile semisdraiato verso sinistra come per dormire (a carboncino), simile alla figura a sinistra nella lunetta di ""Phares-Esrom-Aram"" ","Donna in profilo a destra che si china a sollevare dei putti, simile alla figura sinistra nella lunetta di ""Naasson""",,black chalk,http://vocab.getty.edu/aat/300080058,ink,http://vocab.getty.edu/aat/300015012,,,,,,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,"Same as BB 1702 1938, in Italian",,1703,1703,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,Four more leaves from same sketch-book containing studies after the Sixtine Ceiling. For a full description I again refer to Robinson,,,,1703,1703,,,,,,Same as 1938,,"In BB_1961 we find an introduction for the others 1702-1703 drawings: Otto pagine di un taccuino quadrato, riunite nel 1836 in due pagine di cm 27.5 x 27 (onde i due numeri di Robinson e di Berenson), ma ridivise e montate separatamente nel 1953, contenenti schizzi di figure simili a quelle sulla volta della Cappella Sistina. The BB_1961_Text is transcripted in BB 1703d.",
001703d-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,306,,,,,,,,,1703 d,1703d,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,"Grande nudo seduto che si sporge verso destra con un libro nelle mani, simile alla figura sinistra nella lunetta di ""Abramo-Isacco-Giacobbe-Giuda"", ora distrutta ",Due Scarabocchi di nudi seduti,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Same as BB 1702 1938, in Italian",,1703,1703,Michelangelo,http://vocab.getty.edu/ulan/500010654,School of,Four more leaves from same sketch-book containing studies after the Sixtine Ceiling. For a full description I again refer to Robinson,,,,1702,1702,,,,,,Same as 1938,,"In BB_1961 we find an introduction for the others 1702-1703 drawings: Otto pagine di un taccuino quadrato, riunite nel 1836 in due pagine di cm 27.5 x 27 (onde i due numeri di Robinson e di Berenson), ma ridivise e montate separatamente nel 1953, contenenti schizzi di figure simili a quelle sulla volta della Cappella Sistina. The BB_1961_Text is transcripted in BB 1703d.",
001459A-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Casa Buonarroti,http://viaf.org/viaf/142906384/,,,"Codice I, fol. 96 verso",,,,,,,,,1459 A,1459A,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Schizzo di una guardia a destra, nella Resurrezione",,,red chalk,http://vocab.getty.edu/aat/300080064,,,,,,,,,,,,,,,,,Sul recto un ricordo senza data di Michelangelo. BB n. 1666 è una copia di questo foglio.,,,,,,,,,,,,,,,,,,,,,"See inventory number, column D"
001459B-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Casa Buonarroti,http://viaf.org/viaf/142906384/,,,"Codice XIII, fol. 111 recto",,,,,,,,,1459 B,1459B,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Piccolo schizzo di una figura nuda che dipinge un soffitto per illustrare il sonetto di Michelangelo,,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"See inventory number, column D"
001459C-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Casa Buonarroti,http://viaf.org/viaf/142906384/,,,"Codice XIII, fol. 169",,,,,,,,,1459 C,1459C,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Poesia ,Studio di una mano sinistra,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"See inventory number, column D"
0001460-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Casa Buonarroti,http://viaf.org/viaf/142906384/,,,"Codice delle Rime, p. 145",,,,,,,,,1460,1460,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Vari schizzi, i più importanti dei quali sono un busto di profilo a destra di una donna sulla trentina il profilo di un uomo che ha per elmo una testa di cinghiale ed altri tre profili",,,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,,,1460,1460,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Various sketches, the most important being the bust in profile to right of a woman of about thirty, the profile of a man wearing a boar's head for a helmet, and three other profiles",,"Scarcely later than 1540, or earlier than 1530.",,1460,1460,,,,,,Same as 1938,,,"See inventory number, column D"
0001461-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Casa Buonarroti,http://viaf.org/viaf/142906384/,,,"Codice delle Rime, p. 148",,,,,,,,,1461,1461,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Leggero schizzo di un nudo maschile inginocchiato sulla gamba sinistra, con la testa quasi in profilo a destra, la mano sinistra protesa e la destra che indica se stesso",,,black chalk,http://vocab.getty.edu/aat/300080058,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1461,1461,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Slight sketch of male nude kneeling on left leg with head almost in profile to right, left hand held out and right pointing at himself",,"Early, gone over by other hand and for uncertain purpose",,1461,1461,,,,,,Same as 1938,,,"See inventory number, column D"
0001462-Berenson,Florence,http://sws.geonames.org/3176959,Italy,http://sws.geonames.org/3175395,Casa Buonarroti,http://viaf.org/viaf/142906384/,,,"Codice delle Rime, p. 169",,,,,,,,,1462,1462,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Poesia ,"Schizzo rapido di una grande mano col pollice e l'indice distesi, e le altre dita ripiegate su se stesse",,ink,http://vocab.getty.edu/aat/300015012,,,,,,,,,,,,,,,,,"Same as 1938, in Italian",,1462,1462,Michelangelo,http://vocab.getty.edu/ulan/500010654,,,"Rapid sketch of large hand with thumb and index finger extended, and the others curled in","Almost certainly done from model, but nevertheless seen in the terms of the master's canon. It is curiously enough the exact type of hand found in Jacopino del Conte's portraits, see my 1600B.",,1462,1462,,,,,,Same as 1938,,,"See inventory number, column D"
01567_1-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,312,,,,,,,,,1567 (1),1567_1,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Studio architettonico e leggero schizzo di una figura nuda, non dissimile dagli Ignudi sulla volta della Cappella Sistina [1938: Ma forse più tardo, come sembra indicare la scrittura]",,,ink,http://vocab.getty.edu/aat/300015012,bister,http://vocab.getty.edu/aat/300013351,,,,,,,,,,,,,,,,,1567,1567,Michelangelo,http://vocab.getty.edu/ulan/500010654,,The Dead Christ supported on the knees of a disciple. Almost certainly to be dated 1524,,,,1567,1567,,,,,,,,,See BB_1961 number 
01567_2-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,313,,,,,,,,,1567 (2),1567_2,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Figura nuda stante che guarda a sinistra e tiene le braccia in avanti leggermente inclinate verso l'alto,,,ink,http://vocab.getty.edu/aat/300015012,bister,http://vocab.getty.edu/aat/300013351,,,,,,,,,,,,,,,,,1567,1567,Michelangelo,http://vocab.getty.edu/ulan/500010654,,"Architectural study, and slight sketch of a nude figure, not unlike the Ceiling decorative youths but as the writing on the verso seems to indicate possibly later",,,,1567,1567,,,,,,,,,See BB_1961 number 
01567_3-Berenson,Oxford,http://sws.geonames.org/2640729,United Kingdom,http://sws.geonames.org/2635167,Ashmolean Museum,http://viaf.org/viaf/141569308/,,,378,,,,,,,,,1567 (3),1567_3,,,,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Cristo Morto sorretto sulle ginocchia di un discepolo. Quasi certamente databile 1524,,,ink,http://vocab.getty.edu/aat/300015012,bister,http://vocab.getty.edu/aat/300013351,,,,,,,,,,,,,,,,,1567,1567,Michelangelo,http://vocab.getty.edu/ulan/500010654,,Nude standing figure looking to left with arms stretched out and slightly upward,,,,1567,1567,,,,,,,,,See BB_1961 number 
